dataset,bin,n,mean_abs_empirical,median_abs_empirical,share_empirical_ge_40,mean_abs_predicted
pilot_holdout,0-.1,1561,0.1328436762666486,0.1165997943186164,0.010249839846252402,0.04986067082553134
pilot_holdout,.1-.2,1536,0.1819083001209997,0.1761924337860013,0.036458333333333336,0.14771459567429285
pilot_holdout,.2-.3,1056,0.247991180079045,0.24352515034651256,0.11079545454545454,0.2453045152534877
pilot_holdout,.3-.4,638,0.3280901295930321,0.32875757568315594,0.2884012539184953,0.34619407124996904
pilot_holdout,.4-.5,388,0.41059412129102935,0.41265341177183484,0.5489690721649485,0.4446949796839074
pilot_holdout,.5-.6,186,0.526450028153816,0.5370382040970826,0.8440860215053764,0.5409175641777991
pilot_holdout,.6-.7,63,0.6484187129605622,0.6512113925352995,1.0,0.6450339581632973
pilot_holdout,.7+,20,0.7211960830157209,0.720126351723435,1.0,0.7463380437651242
validation_prolific,0-.1,1472,0.13061122150327314,0.11097900434937315,0.014266304347826086,0.04674546359260656
validation_prolific,.1-.2,850,0.17848226454312185,0.1592696625631892,0.05647058823529412,0.144239705686167
validation_prolific,.2-.3,339,0.28058913629371,0.2782985645550002,0.20648967551622419,0.24280366955371638
validation_prolific,.3-.4,164,0.40150304171967277,0.4097564143909566,0.5304878048780488,0.3417178311774339
validation_prolific,.4-.5,77,0.4939713597495055,0.4932927484261553,0.7662337662337663,0.4395990132110155
validation_prolific,.5-.6,35,0.5941711990286499,0.5683166760529103,1.0,0.5385392023010663
validation_prolific,.6-.7,12,0.6876527836316598,0.6853542694924083,1.0,0.6252352080315398
validation_prolific,.7+,0,,,,
